【设备类】中国电建水电十局安装分局老挝东萨宏水电站辅机及公用控制系统设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180527804
【物资类】中国电建江西水电公司基础处九江阳光城管桩采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180527446
【物资类】中国电建水电八局铁路公司南京地铁5号线TA04-1标项目经理部型材采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180527419
【设备类】中国电建水电十六局周宁抽水蓄能电站下水库工程砂石拌和系统配电及电气控制系统设备采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180527348
【设备类】中国电建水电三局制安分局河北丰宁抽水蓄能电站工程桥式起重机采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180527272
【物资类】中国电建水电八局基础设施公司蓝天保障房楼梯栏杆、百叶采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180527231
【物资类】中国电建水电十一局第四分局中牟生态渠道项目格宾石笼、雷诺护垫采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180527179
【物资类】中国电建水电九局一分局一分局引绰济辽工程枢纽临时工程一标（导流洞）施工项目钢筋采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180526170
【物资类】中国电建水电九局一分局一分局引绰济辽工程枢纽临时工程一标（导流洞）施工水泥采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180526168
【物资类】中国电建中国电建市政集团北方公司晋中市综合通道建设工程PPP项目部二期工程水稳成品料采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525917
【物资类】中国电建中国电建市政集团北方公司晋中市综合通道建设工程PPP项目部二期工程水泥采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525911
【物资类】中国电建中国电建市政集团北方公司晋中市综合通道建设工程PPP项目部二期工程沥青混凝土采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525914
【物资类】中国电建中国电建市政集团北方公司中国电建市政集团北方公司晋中市综合通道建设工程PPP项目部DFPB重...,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525899
【物资类】中国电建中国电建市政集团北方公司晋中市综合通道建设工程PPP项目部二期工程碎石采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525902
【物资类】中国电建水电八局铁路公司龙岗河项目石粉渣、中粗砂采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525892
【物资类】中国电建水电三局2018-2019年度陕汽自卸车配件集中采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525870
【物资类】中国电建水电三局2018-2019年度重汽自卸车配件集中采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525868
【设备类】中国电建水电十六局马里古伊那水电站工程泄洪冲沙孔液压启闭机及其附属设备采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525858
【物资类】中国电建水电十四局市政公路事业部凯里环城高速公路北段PPP工程型材（二次挂网）采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525850
【工程类】中国电建贵阳院贵州省纳雍县大滥坝风电场升压站、风机及箱变接地工程招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525838
【设备类】中国电建河南工程公司新能源工程事业部灵宝市苏村乡梨子沟101.2MW风电场塔筒设备采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525750
【物资类】中国电建水电三局第一分局文登项目钢筋采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525656
【物资类】中国电建水电三局制安分局昆明路项目部钢材采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525654
【设备类】中国电建河南工程公司新能源工程事业部河南省灵宝市苏村梨子沟101.2MW风电场项目采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525643
【物资类】中国电建水电八局砂石公司阳蓄砂石项目带式输送机采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525495
【物资类】中国电建水电十局基础分局巴中置信府一期工程钢材采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525360
【物资类】中国电建水电十局基础分局巴中置信府一期工程混凝土采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525358
【物资类】中国电建水电十六局黑龙江绥芬河民用机场飞行区工程钢筋采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525227
【物资类】中国电建水电十一局基础分局姚江上游西排工程施工2标钢板桩采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525066
【物资类】中国电建水电九局六分局广东太平岭核电砂石厂钢材采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180525049
【物资类】中国电建水电七局贸易公司凉山州杨房沟水电站地厂工程悬臂钢模板采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180523202
【物资类】中国电建水电十一局轨道交通分局深圳地铁9号线9301-1工区钢模台车采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180523131
【物资类】中国电建中国电建市政集团天津分公司北京通州水环境治理项目商品混凝土采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180523084
【物资类】中国电建中国电建市政集团天津分公司北京水环境治理项目钢材采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180523081
【物资类】中国电建水电六局三分局柴河项目部柴油采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180522968
【物资类】中国电建水电十五局二公司新疆巴州大石门水利枢纽工程普通硅酸盐低碱水泥采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180522807
【设备类】中国电建水电十局安装分局老挝东萨宏水电站工程（Don Sahong HPP·LAOS）通风空调系统设...,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180521698
【物资类】中国电建水电五局一分局郑州港区基础设施二标项目经理部第一工程处电力管采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180521580
【物资类】中国电建水电八局机电公司深圳市城市轨道交通5号线南延线5122标段工程石材采购项目采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180521539
【物资类】中国电建水电八局机电公司深圳市城市轨道交通5号线南延线5122标段工程天花吊顶采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180521536
【物资类】中国电建水电八局机电公司深圳市城市轨道交通5号线南延线5122标段工程搪瓷钢板采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180521532
【物资类】中国电建水电八局铁路公司云南红河州高速公路直螺纹钢筋套筒采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180521352
【物资类】中国电建水电八局铁路公司云南红河州高速公路SNS主被动防护网采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180521354
【物资类】中国电建水电八局铁路公司云南红河州高速公路三维植被网、植生袋、塑料薄膜采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180521345
【物资类】中国电建水电八局铁路公司云南红河州高速公路预应力管道压浆料及支座灌浆料采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180521347
【物资类】中国电建水电八局铁路公司云南红河州高速公路防落梁装置采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180521350
【物资类】中国电建水电七局贸易公司四川省攀枝花市金沙水电站钢材采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180520175
【物资类】中国电建水电七局贸易公司成都地铁18号线液压油、齿轮油采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180520154
【物资类】中国电建水电四局轨道公司兴泉铁路项目聚乙烯泡沫塑料板采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180519988
【设备类】中国电建水电十六局马里古伊那水电站工程12kV开关柜、40.5kV开关柜及其附属设备采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180519958
【设备类】中国电建水电八局长九新材料安徽长九（神山）物联网控制及视频监控系统采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180519899
【物资类】中国电建水电十五局二公司双江水库工程柴油采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180519881
【物资类】中国电建水电七局贸易公司阿坝州马尔康市双江口水电站水泥采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180519785
【物资类】中国电建水电四局基础分局河北太行山高速公路邢台段房建工程商品混凝土采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180519731
【设备类】中国电建贵阳院越南YEN SON水电站工程主变压器及其附属设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180519729
【物资类】中国电建水电七局贸易公司乐山市夹江县电缆采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180519545
【物资类】中国电建水电一局云南分局淄博项目部采购活动板房一批采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180518574
【物资类】中国电建水电八局铁路公司云南红河州高速公路模板采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180517130
【物资类】中国电建水电八局铁路公司云南红河州高速公路角钢、钢板、钢管等型材采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180517006
【物资类】中国电建水电十一局第五分局内蒙古Z866工程项目碱性骨料采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180516898
【物资类】中国电建水电十一局第五分局内蒙古Z866工程项目沥青采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180516900
【物资类】中国电建水电三局基础分局常宁房建项目电线采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180516871
【物资类】中国电建水电十局安装分局老挝东萨宏水电站工程（Don Sahong HPP·LAOS）后置式管架固定...,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180516724
【物资类】中国电建水电八局铁路公司云南红河州高速公路钢筋网采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180516556
【物资类】中国电建水电十五局二公司红河州高速公路项目二级粉煤灰采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180516371
【物资类】中国电建水电四局第六分局京沈客运专线工程商品混凝土采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180515598
【物资类】中国电建水电十一局第一分局郑州项目群电力管、通讯管采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180515540
【设备类】中国电建水电八局砂石公司长九新材料工程项目物流廊道、码头陆域高、低压成套配电设备采购项目采购项目招标...,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510426
【设备类】中国电建水电八局砂石公司长九新材料工程项目一期矿石系统高、低压成套配电设备采购项目采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510429
【设备类】中国电建电建海投公司老挝南欧江七级水电站供、排水泵及其附属设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510324
【设备类】中国电建电建海投公司老挝南欧江一级水电站供、排水泵及其附属设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510317
【设备类】中国电建电建海投公司老挝南欧江三级水电站供、排水泵及其附属设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510319
【设备类】中国电建电建海投公司老挝南欧江四级水电站供、排水泵及其附属设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510322
【设备类】中国电建电建海投公司老挝南欧江四级水电站压缩空气系统设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510312
【设备类】中国电建电建海投公司老挝南欧江七级水电站压缩空气系统设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510315
【设备类】中国电建电建海投公司老挝南欧江一级水电站压缩空气系统设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510308
【设备类】中国电建电建海投公司老挝南欧江三级水电站压缩空气系统设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510310
【设备类】中国电建电建海投公司老挝南欧江七级水电站油系统及滤水器设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510306
【设备类】中国电建电建海投公司老挝南欧江三级水电站油系统及滤水器设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510302
【设备类】中国电建电建海投公司老挝南欧江四级水电站油系统及滤水器设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510304
【设备类】中国电建电建海投公司南欧江一级水电站油系统及滤水器设备采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510300
【物资类】中国电建水电八局基础设施公司湘西经济开发区双河文教卫新区PPP项目电线电缆采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510286
【物资类】中国电建水电八局基础设施公司泛悦城钢筋采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510064
【物资类】中国电建水电八局铁路公司长沙地铁6号线车站防水材料采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510029
【物资类】中国电建水电八局水电公司沧州沧海生态综合治理项目商品混凝土采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510011
【物资类】中国电建水电三局路桥分局大荔项目商品混凝土采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=180510001
【物资类】中国电建电建建筑公司2018-2019年度配电箱（柜）框架采购项目招标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=18059948
【物资类】中国电建水电十一局第五分局引江济淮项目部普通硅酸盐水泥采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=18059931
【物资类】中国电建水电十一局第五分局引江济淮项目部垫层碎石采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=18059924
【物资类】中国电建水电十一局第五分局引江济淮项目部砂子、石子采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=18059927
【物资类】中国电建水电十一局第五分局引江济淮项目部Ⅲ级钢筋（370/570级）采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=18059842
【物资类】中国电建武汉装备公司立体车库项目链条采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=18059783
【物资类】中国电建武汉装备公司立体车库项目电机采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=18059781
【物资类】中国电建武汉装备公司立体车库项目防坠器采购项目竞标公告,http://bid.powerchina.cn/announcement/getAnnouncementDetails.html?id=18059704
